category,precision,recall,f1-score,support
10,0.46,0.09,0.15,935
40,0.52,0.33,0.41,752
50,0.63,0.39,0.48,504
60,0.27,0.20,0.23,250
1140,0.81,0.05,0.10,801
1160,0.84,0.70,0.76,1186
1180,0.74,0.29,0.42,229
1280,0.62,0.19,0.29,1461
1281,0.00,0.00,0.00,621
1300,0.90,0.75,0.82,1514
1301,0.97,0.27,0.43,242
1302,0.91,0.50,0.65,747
1320,0.45,0.21,0.29,972
1560,0.11,0.81,0.19,1522
1920,0.83,0.63,0.72,1291
1940,0.72,0.24,0.36,241
2060,0.69,0.42,0.52,1498
2220,0.00,0.00,0.00,247
2280,0.52,0.55,0.53,1428
2403,0.42,0.31,0.36,1432
2462,0.35,0.35,0.35,426
2522,0.73,0.28,0.41,1497
2582,0.43,0.19,0.26,777
2583,0.95,0.71,0.81,3063
2585,0.79,0.32,0.45,749
2705,0.28,0.05,0.09,828
2905,0.99,0.96,0.97,262
