category,precision,recall,f1-score,support
10,0.838509,0.773639,0.804769,698
40,0.855311,0.853748,0.854529,547
50,0.880368,0.839181,0.859281,342
60,0.933333,0.933333,0.933333,165
1140,0.803328,0.889447,0.844197,597
1160,0.957330,0.990940,0.973845,883
1180,0.827338,0.676471,0.744337,170
1280,0.807606,0.741273,0.773019,974
1281,0.728736,0.720455,0.724571,440
1300,0.970207,0.979085,0.974626,765
1301,0.962406,0.984615,0.973384,130
1302,0.829412,0.847695,0.838454,499
1320,0.876833,0.839888,0.857963,712
1560,0.897571,0.860324,0.878553,988
1920,0.912689,0.941176,0.926714,833
1940,0.903226,0.954545,0.928177,176
2060,0.841406,0.874630,0.857696,1013
2220,0.940120,0.887006,0.912791,177
2280,0.887640,0.958022,0.921489,1072
2403,0.882849,0.880374,0.881610,1070
2462,0.850794,0.858974,0.854864,312
2522,0.916339,0.933801,0.924988,997
2582,0.909502,0.786693,0.843652,511
2583,0.972203,0.983826,0.977980,1422
2585,0.930586,0.951220,0.940789,451
2705,0.922591,0.941935,0.932163,620
2905,0.994872,1.000000,0.997429,194
accuracy,0.890739,0.890739,0.890739,0.890739
macro avg,0.890115,0.884530,0.886489,16758
weighted avg,0.890231,0.890739,0.889840,16758
