category,precision,recall,f1-score,support
10,0.552370,0.717765,0.624299,698
40,0.636667,0.698355,0.666085,547
50,0.505190,0.426901,0.462758,342
60,0.678161,0.715152,0.696165,165
1140,0.651391,0.666667,0.658940,597
1160,0.962515,0.901472,0.930994,883
1180,0.607143,0.400000,0.482270,170
1280,0.436119,0.466119,0.450620,974
1281,0.383978,0.315909,0.346633,440
1300,0.530249,0.779085,0.631022,765
1301,0.581967,0.546154,0.563492,130
1302,0.423786,0.507014,0.461679,499
1320,0.593548,0.387640,0.468989,712
1560,0.555970,0.603239,0.578641,988
1920,0.791234,0.823529,0.807059,833
1940,0.631868,0.653409,0.642458,176
2060,0.446469,0.580454,0.504721,1013
2220,0.679487,0.299435,0.415686,177
2280,0.776978,0.705224,0.739364,1072
2403,0.718250,0.628972,0.670653,1070
2462,0.751412,0.426282,0.543967,312
2522,0.709265,0.668004,0.688017,997
2582,0.587302,0.362035,0.447942,511
2583,0.786429,0.774262,0.780298,1422
2585,0.494505,0.399113,0.441718,451
2705,0.776685,0.891935,0.830330,620
2905,0.907216,0.907216,0.907216,194
,,,,
accuracy,0.636054,0.636054,0.636054,0.636054
macro avg,0.635413,0.601902,0.608964,16758
weighted avg,0.644691,0.636054,0.633647,16758
